"KAZNIVO DEJANJE","Vložnik ovadbe - SKUPAJ 2013","Vložnik ovadbe - SKUPAJ 2014","Vložnik ovadbe - SKUPAJ 2015","Vložnik ovadbe - SKUPAJ 2016","Vložnik ovadbe - SKUPAJ 2017","Vložnik ovadbe - SKUPAJ 2018","Vložnik ovadbe - SKUPAJ 2019","Vložnik ovadbe - SKUPAJ 2020","Vložnik ovadbe - SKUPAJ 2021","Drugo 2013","Drugo 2014","Drugo 2015","Drugo 2016","Drugo 2017","Drugo 2018","Drugo 2019","Drugo 2020","Drugo 2021","Oškodovanec 2013","Oškodovanec 2014","Oškodovanec 2015","Oškodovanec 2016","Oškodovanec 2017","Oškodovanec 2018","Oškodovanec 2019","Oškodovanec 2020","Oškodovanec 2021","Policija 2013","Policija 2014","Policija 2015","Policija 2016","Policija 2017","Policija 2018","Policija 2019","Policija 2020","Policija 2021","Inšpekcija 2013","Inšpekcija 2014","Inšpekcija 2015","Inšpekcija 2016","Inšpekcija 2017","Inšpekcija 2018","Inšpekcija 2019","Inšpekcija 2020","Inšpekcija 2021","Agencija za plaèilni promet RS 2013","Agencija za plaèilni promet RS 2014","Agencija za plaèilni promet RS 2015","Agencija za plaèilni promet RS 2016","Agencija za plaèilni promet RS 2017","Agencija za plaèilni promet RS 2018","Agencija za plaèilni promet RS 2019","Agencija za plaèilni promet RS 2020","Agencija za plaèilni promet RS 2021","Sam storilec 2013","Sam storilec 2014","Sam storilec 2015","Sam storilec 2016","Sam storilec 2017","Sam storilec 2018","Sam storilec 2019","Sam storilec 2020","Sam storilec 2021","Neposredna ugotovitev državnega tožilstva 2013","Neposredna ugotovitev državnega tožilstva 2014","Neposredna ugotovitev državnega tožilstva 2015","Neposredna ugotovitev državnega tožilstva 2016","Neposredna ugotovitev državnega tožilstva 2017","Neposredna ugotovitev državnega tožilstva 2018","Neposredna ugotovitev državnega tožilstva 2019","Neposredna ugotovitev državnega tožilstva 2020","Neposredna ugotovitev državnega tožilstva 2021","Drug obèan 2013","Drug obèan 2014","Drug obèan 2015","Drug obèan 2016","Drug obèan 2017","Drug obèan 2018","Drug obèan 2019","Drug obèan 2020","Drug obèan 2021","Državni pravobranilec 2013","Državni pravobranilec 2014","Državni pravobranilec 2015","Državni pravobranilec 2016","Državni pravobranilec 2017","Državni pravobranilec 2018","Državni pravobranilec 2019","Državni pravobranilec 2020","Državni pravobranilec 2021","Sodišèe 2013","Sodišèe 2014","Sodišèe 2015","Sodišèe 2016","Sodišèe 2017","Sodišèe 2018","Sodišèe 2019","Sodišèe 2020","Sodišèe 2021"
"4.XIV.102 vojna hudodelstva",-,-,-,-,5,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,4,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"4.XIV.102001 vojna hudodelstva - tè. 1",-,-,-,-,5,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,4,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"4.XIV.108 terorizem",-,1,2,1,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,1,2,1,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"4.XIV.108010 terorizem - od. 1",-,-,1,1,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,1,1,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"4.XIV.108021 terorizem - od. 2 v zvezi z od. 1",-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"4.XIV.110 šèuvanje in javno povelièevanje teroristiènih dejanj",-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"4.XIV.110021 šèuvanje in javno povelièevanje teroristiènih dejanj - od. 2 v zvezi z od. 1",-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"4.XIV.112 spravljanje v suženjsko razmerje",2,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"4.XIV.112010 spravljanje v suženjsko razmerje - od. 1",2,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"4.XIV.113 trgovina z ljudmi",8,24,96,57,64,26,23,26,-,0,4,10,2,8,1,5,-,-,3,11,19,18,8,-,2,3,-,4,9,67,37,47,24,14,20,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2,2,-,0,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,1,-,1,-
"4.XIV.113010 trgovina z ljudmi - od. 1",4,9,11,27,25,1,6,2,-,0,4,1,2,5,1,5,-,-,3,5,4,9,1,-,-,2,-,1,-,6,16,18,-,1,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"4.XIV.113021 trgovina z ljudmi - od. 2 v zvezi z od. 1",4,10,36,26,30,11,14,9,1,0,-,9,-,3,-,-,-,1,0,6,-,9,7,-,2,1,-,3,4,27,17,20,10,12,7,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,1,-,1,-
"4.XIV.113032 trgovina z ljudmi - od. 3 v zvezi z od. 2",-,5,49,4,7,14,2,11,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,5,34,4,7,14,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"4.XIV.113051 trgovina z ljudmi - od. 5 v zvezi z od. 1",-,-,-,-,2,-,1,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"4.XIV.113052 trgovina z ljudmi - od. 5 v zvezi z od. 2",-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"4.XV KAZNIVA DEJANJA ZOPER ŽIVLJENJE IN TELO",1822,1606,1714,1610,1680,1453,1648,1634,1327,18,21,17,48,37,21,19,38,33,1206,777,863,1326,1337,1187,1389,1364,1092,528,778,806,198,267,211,207,190,148,1,1,-,-,-,2,2,-,2,-,-,-,-,-,-,-,-,-,3,2,-,2,-,1,2,1,5,12,2,-,1,7,2,7,10,10,54,23,28,35,32,29,21,29,35,-,-,-,-,-,-,-,-,-,0,2,-,-,-,-,1,2,2
"4.XV.115 uboj",22,18,34,43,43,45,18,34,-,1,-,-,4,1,4,1,4,-,12,7,14,18,20,25,11,18,-,9,10,18,14,20,13,3,6,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,2,-,-,1,-,-,0,-,-,-,-,-,-,-,-,0,1,2,5,2,3,2,6,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"4.XV.115010 uboj - od. 1",22,18,34,43,41,45,18,31,36,1,-,-,4,1,4,1,3,5,12,7,14,18,20,25,11,18,17,9,10,18,14,18,13,3,4,3,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,2,-,-,1,-,-,0,-,-,-,-,-,-,-,1,0,1,2,5,2,3,2,6,10,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"4.XV.115021 uboj - od. 2 v zvezi z od. 1",-,-,-,-,2,-,-,3,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"4.XV.116 umor",12,20,27,31,46,25,14,20,-,3,4,-,-,4,3,-,2,-,4,4,2,4,12,8,5,10,-,4,11,21,25,21,10,8,7,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,1,-,-,-,0,-,-,-,-,-,-,-,-,1,1,4,2,9,3,1,1,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"4.XV.116001 umor - tè. 1",9,11,13,12,32,13,10,17,18,3,4,-,-,3,-,-,2,2,3,2,-,2,7,3,3,8,7,3,4,11,9,15,9,6,6,6,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,3,0,-,-,-,-,-,-,-,-,0,1,2,1,7,1,1,1,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"4.XV.116002 umor - tè. 2",-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"4.XV.116004 umor - tè. 4",3,9,14,19,14,11,4,3,12,0,-,-,-,1,3,-,-,1,1,2,2,2,5,4,2,2,2,1,7,10,16,6,1,2,1,8,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,1,-,-,-,0,-,-,-,-,-,-,-,-,1,-,2,1,2,2,-,-,1,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"4.XV.117 uboj na mah",-,2,3,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,2,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"4.XV.117000 uboj na mah",-,2,3,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,2,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"4.XV.118 povzroèitev smrti iz malomarnosti",6,10,25,7,10,13,8,19,-,0,4,-,-,-,-,1,4,-,5,2,18,1,3,11,2,6,-,1,4,6,3,6,2,2,1,-,0,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,2,6,-,0,-,1,3,1,-,-,2,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"4.XV.118000 povzroèitev smrti iz malomarnosti",6,10,25,7,10,13,8,19,15,0,4,-,-,-,-,1,4,2,5,2,18,1,3,11,2,6,7,1,4,6,3,6,2,2,1,3,0,-,-,-,-,-,1,-,2,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,2,6,-,0,-,1,3,1,-,-,2,1,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"4.XV.119 detomor",1,-,1,-,1,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,1,-,1,-,1,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"4.XV.119000 detomor",1,-,1,-,1,-,-,-,1,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,1,-,1,-,1,-,-,-,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"4.XV.120 napeljevanje k samomoru in pomoè pri samomoru",-,1,2,-,3,1,1,3,-,-,-,1,-,-,-,-,1,-,-,1,-,-,1,1,1,2,-,-,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"4.XV.120010 napeljevanje k samomoru in pomoè pri samomoru - od. 1",-,1,-,-,1,1,1,3,-,-,-,-,-,-,-,-,1,-,-,1,-,-,1,1,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"4.XV.120040 napeljevanje k samomoru in pomoè pri samomoru - od. 4",-,-,2,-,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"4.XV.121 nedovoljen poseg v noseènost",-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"4.XV.121010 nedovoljen poseg v noseènost - od. 1",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"4.XV.121030 nedovoljen poseg v noseènost - od. 3",-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"4.XV.122 lahka telesna poškodba",1556,1249,1317,1249,1289,1092,1349,1284,-,9,7,10,28,23,6,11,11,-,1054,635,669,1084,1082,924,1161,1105,-,439,590,630,119,167,149,167,152,-,0,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,3,1,-,-,-,-,-,1,-,9,1,-,1,2,1,3,3,-,42,14,8,17,15,10,6,10,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,1,2,-
"4.XV.122010 lahka telesna poškodba - od. 1",1262,979,1042,967,1001,890,1101,1006,810,9,7,8,19,11,4,11,8,6,861,542,576,832,830,733,919,843,666,354,418,450,102,148,143,161,148,110,0,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,9,1,-,1,1,1,3,2,7,28,9,8,13,11,7,6,3,18,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,1,2,2
"4.XV.122021 lahka telesna poškodba - od. 2 v zvezi z od. 1",289,270,273,281,286,202,247,278,205,0,-,2,9,12,2,-,3,5,188,93,93,251,250,191,241,262,196,85,172,178,17,19,6,6,4,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,1,1,0,-,-,-,1,-,-,1,2,14,5,-,4,4,3,-,7,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"4.XV.122032 lahka telesna poškodba - od. 3 v zvezi z od. 2",-,-,2,1,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,1,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"4.XV.122041 lahka telesna poškodba - od. 4 v zvezi z od. 1",5,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"4.XV.123 huda telesna poškodba",140,234,221,206,218,204,209,211,-,4,4,3,15,7,4,3,11,-,90,91,123,161,172,176,181,184,-,39,128,87,24,32,15,14,12,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,-,-,-,-,1,-,-,1,1,-,-,5,1,2,1,-,5,7,8,6,2,8,8,3,-,-,-,-,-,-,-,-,-,-,0,2,-,-,-,-,-,-,-
"4.XV.123010 huda telesna poškodba - od. 1",116,198,186,167,184,179,179,180,151,4,1,2,13,5,4,2,4,6,74,78,108,132,156,156,160,162,142,32,113,70,17,18,11,7,10,3,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,1,1,-,-,4,-,2,1,-,5,3,6,5,1,8,8,3,-,-,-,-,-,-,-,-,-,-,0,2,-,-,-,-,-,-,-
"4.XV.123021 huda telesna poškodba - od. 2 v zvezi z od 1",-,1,1,2,3,4,-,2,1,-,-,-,-,-,-,-,-,-,-,1,1,2,1,2,-,2,1,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"4.XV.123031 huda telesna poškodba - od. 3 v zvezi z od 1",19,35,29,34,28,20,27,27,27,0,3,1,2,2,-,1,7,2,16,12,13,25,13,17,18,18,19,2,15,13,6,13,2,7,2,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,-,-,-,-,1,-,-,0,-,-,-,-,1,-,-,-,0,4,2,1,-,-,-,-,2,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"4.XV.123041 huda telesna poškodba - od. 4 v zvezi z od 1",5,-,5,3,3,1,3,2,3,0,-,-,-,-,-,-,-,-,0,-,1,2,2,1,3,2,3,5,-,4,1,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,1,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"4.XV.124 posebno huda telesna poškodba",7,13,18,16,14,12,10,14,-,0,-,1,-,1,2,2,3,-,2,6,4,11,7,4,7,8,-,1,7,12,5,6,6,-,1,-,0,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,2,-,1,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"4.XV.124010 posebno huda telesna poškodba - od. 1",4,8,9,10,11,4,6,12,9,0,-,-,-,-,2,-,2,-,2,6,4,10,6,2,6,8,9,0,2,4,-,5,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,0,-,1,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"4.XV.124021 posebno huda telesna poškodba - od. 2 v zvezi z od. 1",2,5,5,5,1,7,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,1,1,-,-,-,1,5,5,5,-,6,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"4.XV.124031 posebno huda telesna poškodba - od. 3 v zvezi z od. 1",1,-,2,1,2,1,4,2,5,0,-,1,-,1,-,2,1,-,0,-,-,1,-,1,1,-,4,0,-,1,-,1,-,-,1,1,0,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"4.XV.124041 posebno huda telesna poškodba - od. 4 v zvezi z od. 1",-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"4.XV.126 sodelovanje pri pretepu",14,5,8,6,-,4,2,3,-,0,-,-,-,-,-,-,-,-,9,2,4,5,-,4,2,3,-,3,3,4,1,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"4.XV.126000 sodelovanje pri pretepu",14,5,8,6,-,4,2,3,1,0,-,-,-,-,-,-,-,-,9,2,4,5,-,4,2,3,-,3,3,4,1,-,-,-,-,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"4.XV.127 ogrožanje z nevarnim orodjem pri pretepu ali prepiru",59,50,50,44,43,46,25,32,-,0,1,-,-,-,-,-,-,-,30,28,28,38,35,30,15,23,-,28,21,22,6,8,16,10,9,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"4.XV.127010 ogrožanje z nevarnim orodjem pri pretepu ali prepiru - od. 1",57,50,50,44,43,46,25,32,24,0,1,-,-,-,-,-,-,-,29,28,28,38,35,30,15,23,17,27,21,22,6,8,16,10,9,7,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"4.XV.127020 ogrožanje z nevarnim orodjem pri pretepu ali prepiru - od. 2",2,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"4.XV.128 povzroèitev nevarnosti",-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
