"KAZNIVO DEJANJE","Vložnik ovadbe - SKUPAJ 2013","Vložnik ovadbe - SKUPAJ 2014","Vložnik ovadbe - SKUPAJ 2015","Vložnik ovadbe - SKUPAJ 2016","Vložnik ovadbe - SKUPAJ 2017","Vložnik ovadbe - SKUPAJ 2018","Vložnik ovadbe - SKUPAJ 2019","Vložnik ovadbe - SKUPAJ 2020","Vložnik ovadbe - SKUPAJ 2021","Drugo 2013","Drugo 2014","Drugo 2015","Drugo 2016","Drugo 2017","Drugo 2018","Drugo 2019","Drugo 2020","Drugo 2021","Oškodovanec 2013","Oškodovanec 2014","Oškodovanec 2015","Oškodovanec 2016","Oškodovanec 2017","Oškodovanec 2018","Oškodovanec 2019","Oškodovanec 2020","Oškodovanec 2021","Policija 2013","Policija 2014","Policija 2015","Policija 2016","Policija 2017","Policija 2018","Policija 2019","Policija 2020","Policija 2021","Inšpekcija 2013","Inšpekcija 2014","Inšpekcija 2015","Inšpekcija 2016","Inšpekcija 2017","Inšpekcija 2018","Inšpekcija 2019","Inšpekcija 2020","Inšpekcija 2021","Agencija za plaèilni promet RS 2013","Agencija za plaèilni promet RS 2014","Agencija za plaèilni promet RS 2015","Agencija za plaèilni promet RS 2016","Agencija za plaèilni promet RS 2017","Agencija za plaèilni promet RS 2018","Agencija za plaèilni promet RS 2019","Agencija za plaèilni promet RS 2020","Agencija za plaèilni promet RS 2021","Sam storilec 2013","Sam storilec 2014","Sam storilec 2015","Sam storilec 2016","Sam storilec 2017","Sam storilec 2018","Sam storilec 2019","Sam storilec 2020","Sam storilec 2021","Neposredna ugotovitev državnega tožilstva 2013","Neposredna ugotovitev državnega tožilstva 2014","Neposredna ugotovitev državnega tožilstva 2015","Neposredna ugotovitev državnega tožilstva 2016","Neposredna ugotovitev državnega tožilstva 2017","Neposredna ugotovitev državnega tožilstva 2018","Neposredna ugotovitev državnega tožilstva 2019","Neposredna ugotovitev državnega tožilstva 2020","Neposredna ugotovitev državnega tožilstva 2021","Drug obèan 2013","Drug obèan 2014","Drug obèan 2015","Drug obèan 2016","Drug obèan 2017","Drug obèan 2018","Drug obèan 2019","Drug obèan 2020","Drug obèan 2021","Državni pravobranilec 2013","Državni pravobranilec 2014","Državni pravobranilec 2015","Državni pravobranilec 2016","Državni pravobranilec 2017","Državni pravobranilec 2018","Državni pravobranilec 2019","Državni pravobranilec 2020","Državni pravobranilec 2021","Sodišèe 2013","Sodišèe 2014","Sodišèe 2015","Sodišèe 2016","Sodišèe 2017","Sodišèe 2018","Sodišèe 2019","Sodišèe 2020","Sodišèe 2021"
"4.XXVI.260010 izdaja tajnih podatkov - od. 1",3,3,6,19,5,3,2,2,4,3,-,1,1,2,2,1,1,1,0,3,4,9,2,1,1,-,-,0,-,1,6,1,-,-,-,3,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,1,-,0,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"4.XXVI.260020 izdaja tajnih podatkov - od. 2",2,-,1,2,2,2,-,1,-,1,-,-,-,-,-,-,1,-,0,-,1,1,-,1,-,-,-,1,-,-,1,1,1,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,1,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"4.XXVI.260051 izdaja tajnih podatkov - od. 5 v zvezi z od. 1",-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"4.XXVI.261 jemanje podkupnine",23,18,48,76,45,35,35,33,-,7,6,7,25,13,11,7,9,-,5,5,27,14,8,10,11,6,-,11,4,12,37,23,12,15,13,-,0,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,2,-,3,-,0,2,2,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,1,-,-
"4.XXVI.261010 jemanje podkupnine - od. 1",13,13,26,67,34,34,32,28,10,3,5,5,25,13,11,6,8,-,3,4,12,12,6,9,10,6,5,7,2,8,30,14,12,15,12,3,0,1,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,2,-,-,-,0,1,1,-,1,-,1,1,1,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"4.XXVI.261020 jemanje podkupnine - od. 2",5,5,7,9,5,1,3,5,1,2,1,1,-,-,-,1,1,1,1,1,3,2,2,1,1,-,-,2,2,2,7,3,-,-,1,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,3,-,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,1,-,-
"4.XXVI.261031 jemanje podkupnine - od. 3 v zvezi z od. 1",5,-,15,-,6,-,-,-,-,2,-,1,-,-,-,-,-,-,1,-,12,-,-,-,-,-,-,2,-,2,-,6,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"4.XXVI.262 dajanje podkupnine",18,12,10,30,29,47,42,22,-,3,1,1,4,5,3,4,3,-,2,3,1,-,2,7,3,1,-,12,8,7,25,22,36,33,15,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,1,1,1,-,1,-,1,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,0,-,-,1,-,-,-,-,-
"4.XXVI.262010 dajanje podkupnine - od. 1",12,9,7,29,21,45,40,20,22,1,1,1,3,5,3,4,2,2,2,3,-,-,2,6,2,1,10,8,5,6,25,14,35,32,14,9,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,1,1,1,-,1,-,-,-,-,-,1,2,1,-,-,-,-,-,-,-,-,-,0,-,-,1,-,-,-,-,-
"4.XXVI.262020 dajanje podkupnine - od. 2",6,3,3,1,8,2,2,2,2,2,-,-,1,-,-,-,1,1,0,-,1,-,-,1,1,-,1,4,3,1,-,8,1,1,1,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"4.XXVI.263 sprejemanje koristi za nezakonito posredovanje",16,16,7,18,28,12,8,25,-,1,1,1,2,3,3,1,19,-,1,3,1,1,4,4,4,1,-,14,9,5,15,20,5,1,2,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,1,1,-,0,-,-,-,1,-,1,1,-,0,3,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"4.XXVI.263010 sprejemanje koristi za nezakonito posredovanje - od. 1",8,3,3,10,9,4,3,11,1,0,1,1,2,1,-,-,9,1,0,1,1,-,-,3,2,1,-,8,1,1,8,7,1,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,1,1,-,0,-,-,-,1,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"4.XXVI.263020 sprejemanje koristi za nezakonito posredovanje - od. 2",5,5,4,6,18,8,4,12,6,1,-,-,-,2,3,1,10,1,0,2,-,1,4,1,2,-,4,4,-,4,5,12,4,-,-,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,1,1,-,0,3,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"4.XXVI.263032 sprejemanje koristi za nezakonito posredovanje - od. 3 v zvezi z od. 2",3,8,-,2,1,-,1,2,1,0,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,2,8,-,2,1,-,1,2,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
