"KAZNIVO DEJANJE","Razlog zavrženja - SKUPAJ 2013","Razlog zavrženja - SKUPAJ 2014","Razlog zavrženja - SKUPAJ 2015","Razlog zavrženja - SKUPAJ 2016","Razlog zavrženja - SKUPAJ 2017","Razlog zavrženja - SKUPAJ 2018","Razlog zavrženja - SKUPAJ 2019","Razlog zavrženja - SKUPAJ 2020","Razlog zavrženja - SKUPAJ 2021","Ni utemeljenega suma 2013","Ni utemeljenega suma 2014","Ni utemeljenega suma 2015","Ni utemeljenega suma 2016","Ni utemeljenega suma 2017","Ni utemeljenega suma 2018","Ni utemeljenega suma 2019","Ni utemeljenega suma 2020","Ni utemeljenega suma 2021","Izkljuèen pregon 2013","Izkljuèen pregon 2014","Izkljuèen pregon 2015","Izkljuèen pregon 2016","Izkljuèen pregon 2017","Izkljuèen pregon 2018","Izkljuèen pregon 2019","Izkljuèen pregon 2020","Izkljuèen pregon 2021","Nesorazmerje med majhnim pomenom kd in posledicami kazenskega pregona 2013","Nesorazmerje med majhnim pomenom kd in posledicami kazenskega pregona 2014","Nesorazmerje med majhnim pomenom kd in posledicami kazenskega pregona 2015","Nesorazmerje med majhnim pomenom kd in posledicami kazenskega pregona 2016","Nesorazmerje med majhnim pomenom kd in posledicami kazenskega pregona 2017","Nesorazmerje med majhnim pomenom kd in posledicami kazenskega pregona 2018","Nesorazmerje med majhnim pomenom kd in posledicami kazenskega pregona 2019","Nesorazmerje med majhnim pomenom kd in posledicami kazenskega pregona 2020","Nesorazmerje med majhnim pomenom kd in posledicami kazenskega pregona 2021","Ni znakov kaznivega dejanja 2013","Ni znakov kaznivega dejanja 2014","Ni znakov kaznivega dejanja 2015","Ni znakov kaznivega dejanja 2016","Ni znakov kaznivega dejanja 2017","Ni znakov kaznivega dejanja 2018","Ni znakov kaznivega dejanja 2019","Ni znakov kaznivega dejanja 2020","Ni znakov kaznivega dejanja 2021","Umik predloga za pregon 2013","Umik predloga za pregon 2014","Umik predloga za pregon 2015","Umik predloga za pregon 2016","Umik predloga za pregon 2017","Umik predloga za pregon 2018","Umik predloga za pregon 2019","Umik predloga za pregon 2020","Umik predloga za pregon 2021","Po odloženem kazenskem pregonu 2013","Po odloženem kazenskem pregonu 2014","Po odloženem kazenskem pregonu 2015","Po odloženem kazenskem pregonu 2016","Po odloženem kazenskem pregonu 2017","Po odloženem kazenskem pregonu 2018","Po odloženem kazenskem pregonu 2019","Po odloženem kazenskem pregonu 2020","Po odloženem kazenskem pregonu 2021","Smotrnost 2013","Smotrnost 2014","Smotrnost 2015","Smotrnost 2016","Smotrnost 2017","Smotrnost 2018","Smotrnost 2019","Smotrnost 2020","Smotrnost 2021","Zastaranje 2013","Zastaranje 2014","Zastaranje 2015","Zastaranje 2016","Zastaranje 2017","Zastaranje 2018","Zastaranje 2019","Zastaranje 2020","Zastaranje 2021","Po poravnavi 2013","Po poravnavi 2014","Po poravnavi 2015","Po poravnavi 2016","Po poravnavi 2017","Po poravnavi 2018","Po poravnavi 2019","Po poravnavi 2020","Po poravnavi 2021","Izkljuèena kazenska odgovornost 2013","Izkljuèena kazenska odgovornost 2014","Izkljuèena kazenska odgovornost 2015","Izkljuèena kazenska odgovornost 2016","Izkljuèena kazenska odgovornost 2017","Izkljuèena kazenska odgovornost 2018","Izkljuèena kazenska odgovornost 2019","Izkljuèena kazenska odgovornost 2020","Izkljuèena kazenska odgovornost 2021","Oportuniteta - smotrnost (mladoletniki) 2013","Oportuniteta - smotrnost (mladoletniki) 2014","Oportuniteta - smotrnost (mladoletniki) 2015","Oportuniteta - smotrnost (mladoletniki) 2016","Oportuniteta - smotrnost (mladoletniki) 2017","Oportuniteta - smotrnost (mladoletniki) 2018","Oportuniteta - smotrnost (mladoletniki) 2019","Oportuniteta - smotrnost (mladoletniki) 2020","Oportuniteta - smotrnost (mladoletniki) 2021","Oportuniteta - izvajanje varnostnega ukrepa v teku 2013","Oportuniteta - izvajanje varnostnega ukrepa v teku 2014","Oportuniteta - izvajanje varnostnega ukrepa v teku 2015","Oportuniteta - izvajanje varnostnega ukrepa v teku 2016","Oportuniteta - izvajanje varnostnega ukrepa v teku 2017","Oportuniteta - izvajanje varnostnega ukrepa v teku 2018","Oportuniteta - izvajanje varnostnega ukrepa v teku 2019","Oportuniteta - izvajanje varnostnega ukrepa v teku 2020","Oportuniteta - izvajanje varnostnega ukrepa v teku 2021","Oportuniteta - kazen v teku 2013","Oportuniteta - kazen v teku 2014","Oportuniteta - kazen v teku 2015","Oportuniteta - kazen v teku 2016","Oportuniteta - kazen v teku 2017","Oportuniteta - kazen v teku 2018","Oportuniteta - kazen v teku 2019","Oportuniteta - kazen v teku 2020","Oportuniteta - kazen v teku 2021","Otrok pod 14 let 2013","Otrok pod 14 let 2014","Otrok pod 14 let 2015","Otrok pod 14 let 2016","Otrok pod 14 let 2017","Otrok pod 14 let 2018","Otrok pod 14 let 2019","Otrok pod 14 let 2020","Otrok pod 14 let 2021"
"1.XVI.152010 kršitev nedotakljivosti stanovanja - od. 1",-,-,-,1,-,2,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XVI.154 zloraba osebnih podatkov",-,3,-,-,-,1,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XVI.154010 zloraba osebnih podatkov - od. 1",-,2,-,-,-,1,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XVI.154020 zloraba osebnih podatkov - od. 2",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XVIII KAZNIVA DEJANJA ZOPER ÈAST IN DOBRO IME",1,1,-,2,2,-,-,-,-,0,1,-,1,1,-,-,-,-,0,-,-,1,1,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XVIII.170 obrekovanje",-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XVIII.170010 obrekovanje - od. 1",-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XVIII.171 žaljiva obdolžitev",1,1,-,-,-,-,-,-,-,0,1,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XVIII.171010 žaljiva obdolžitev - od. 1",1,1,-,-,-,-,-,-,-,0,1,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XVIII.173 oèitanje kaznivega dejanja z namenom zanièevanja",-,-,-,1,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XVIII.173010 oèitanje kaznivega dejanja z namenom zanièevanja - od. 1",-,-,-,1,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XVIII.174 sramotitev Republike Slovenije",-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XVIII.174010 sramotitev Republike Slovenije - od. 1",-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XIX KAZNIVA DEJANJA ZOPER SPOLNO NEDOTAKLJIVOST",13,10,7,4,4,3,3,5,8,8,4,4,-,3,-,-,-,-,2,1,-,-,-,1,2,2,4,0,-,-,1,-,-,-,-,-,0,-,2,-,-,-,-,-,1,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,3,5,1,3,1,2,1,3,3,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XIX.180 posilstvo",2,-,2,-,-,-,-,1,1,2,-,2,-,-,-,-,-,-,0,-,-,-,-,-,-,1,1,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XIX.180010 posilstvo - od. 1",2,-,2,-,-,-,-,1,1,2,-,2,-,-,-,-,-,-,0,-,-,-,-,-,-,1,1,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XIX.181 spolno nasilje",1,1,1,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,0,1,-,-,-,-,-,-,1,0,-,-,-,-,-,-,-,-,0,-,1,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,1,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XIX.181010 spolno nasilje - od. 1",1,1,1,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,0,1,-,-,-,-,-,-,1,0,-,-,-,-,-,-,-,-,0,-,1,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,1,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XIX.182 spolna zloraba slabotne osebe",1,-,1,-,-,-,-,-,-,0,-,1,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XIX.182010 spolna zloraba slabotne osebe - od. 1",1,-,1,-,-,-,-,-,-,0,-,1,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XIX.183 spolni napad na otroka",8,9,3,2,4,3,2,4,4,4,4,1,-,3,-,-,-,-,2,-,-,-,-,1,1,1,1,0,-,-,-,-,-,-,-,-,0,-,1,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,2,5,1,2,1,2,1,3,3,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XIX.183010 spolni napad na otroka - od. 1",3,4,1,2,1,-,-,2,1,2,2,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,2,-,2,1,-,-,2,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XIX.183030 spolni napad na otroka - od. 3",5,5,2,-,3,3,2,2,3,2,2,-,-,3,-,-,-,-,1,-,-,-,-,1,1,1,-,0,-,-,-,-,-,-,-,-,0,-,1,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,2,3,1,-,-,2,1,1,3,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XIX.184 kršitev spolne nedotakljivosti z zlorabo položaja",-,-,-,-,-,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XIX.184020 kršitev spolne nedotakljivosti z zlorabo položaja - od. 2",-,-,-,-,-,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XIX.185 zloraba prostitucije",1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XIX.185010 zloraba prostitucije - od. 1",1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XIX.187 prikazovanje, izdelava, posest in posredovanje pornografskega gradiva",-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XIX.187010 prikazovanje, izdelava, posest in posredovanje pornografskega gradiva - od. 1",-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XX KAZNIVA DEJANJA ZOPER ÈLOVEKOVO ZDRAVJE",5,4,1,10,1,-,1,2,1,1,-,1,2,-,-,-,-,-,4,1,-,1,1,-,-,1,-,0,-,-,-,-,-,-,-,1,0,1,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,1,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,2,-,6,-,-,1,1,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XX.189 opustitev zdravstvene pomoèi",-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XX.189000 opustitev zdravstvene pomoèi",-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XX.190 malomarno zdravljenje",-,1,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XX.190010 malomarno zdravljenje - od. 1",-,1,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XX.191 nedovoljena presaditev delov èloveškega telesa",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XX.191010 nedovoljena presaditev delov èloveškega telesa - od. 1",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XX.196 neupravièen proizvodnja in promet z mamili",5,1,1,4,-,-,1,1,1,1,-,1,2,-,-,-,-,-,4,1,-,1,-,-,-,1,-,0,-,-,-,-,-,-,-,1,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,1,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,1,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XX.196010 neupravièen proizvodnja in promet z mamili - od. 1",5,1,1,2,-,-,1,-,1,1,-,1,1,-,-,-,-,-,4,1,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,1,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,1,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,1,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
